============================================================================================
ANSOFT CORPORATION                                                                  10/18/18
Circuit4                                                                            17:49:45

--------------------------------------------------------------------------------------------
           F [GHz]               dB(S11)                dB(S21)
                                                               
 0.001000000000000    -0.000000086858921   -253.429659219142340
 0.002000000000000    -0.000000086858995   -235.367850091914510
 0.003000000000000    -0.000000086859117   -224.802357292101900
 0.004000000000000    -0.000000086859285   -217.306008725099420
 0.005000000000000    -0.000000086859506   -211.491376553078110
 0.006000000000000    -0.000000086859773   -206.740463400571090
 0.007000000000000    -0.000000086860089   -202.723610642798830
 0.008000000000000    -0.000000086860455   -199.244041457155050
 0.009000000000000    -0.000000086860867   -196.174830757798250
 0.010000000000000    -0.000000086861329   -193.429314986878270
 0.011000000000000    -0.000000086861841   -190.945680555740750
 0.012000000000000    -0.000000086862403   -188.678286596575190
 0.013000000000000    -0.000000086863009   -186.592472931159020
 0.014000000000000    -0.000000086863666   -184.661297654976950
 0.015000000000000    -0.000000086864373   -182.863402994380380
 0.016000000000000    -0.000000086865128   -181.181571336315300
 0.017000000000000    -0.000000086865933   -179.601719786751890
 0.018000000000000    -0.000000086866784   -178.112182552766260
 0.019000000000000    -0.000000086867684   -176.703187606946100
 0.020000000000000    -0.000000086868636   -175.366467744946930
 0.021000000000000    -0.000000086869634   -174.094966636812160
 0.022000000000000    -0.000000086870680   -172.882613322830960
 0.023000000000000    -0.000000086871776   -171.724146877532010
 0.024000000000000    -0.000000086872920   -170.614978417268620
 0.025000000000000    -0.000000086874116   -169.551081295809920
 0.026000000000000    -0.000000086875356   -168.528902848668650
 0.027000000000000    -0.000000086876647   -167.545292802603000
 0.028000000000000    -0.000000086877984   -166.597444711085500
 0.029000000000000    -0.000000086879374   -165.682847671214920
 0.030000000000000    -0.000000086880810   -164.799246229361100
 0.031000000000000    -0.000000086882300   -163.944606863518290
 0.032000000000000    -0.000000086883832   -163.117089788842240
 0.033000000000000    -0.000000086885415   -162.315025103028940
 0.034000000000000    -0.000000086887045   -161.536892493804320
 0.035000000000000    -0.000000086888727   -160.781303888693200
 0.036000000000000    -0.000000086890457   -160.046988549528920
 0.037000000000000    -0.000000086892237   -159.332780209635500
 0.038000000000000    -0.000000086894063   -158.637605926707290
 0.039000000000000    -0.000000086895940   -157.960476383890120
 0.040000000000000    -0.000000086897864   -157.300477418994600
 0.041000000000000    -0.000000086899836   -156.656762599825900
 0.042000000000000    -0.000000086901859   -156.028546694329240
 0.043000000000000    -0.000000086903930   -155.415099909179790
 0.044000000000000    -0.000000086906052   -154.815742790789610
 0.045000000000000    -0.000000086908221   -154.229841699388770
 0.046000000000000    -0.000000086910438   -153.656804780587440
 0.047000000000000    -0.000000086912704   -153.096078370209340
 0.048000000000000    -0.000000086915020   -152.547143777652540
 0.049000000000000    -0.000000086917384   -152.009514400936890
 0.050000000000000    -0.000000086919796   -151.482733133223580
 0.051000000000000    -0.000000086922258   -150.966370026167740
 0.052000000000000    -0.000000086924771   -150.460020180175580
 0.053000000000000    -0.000000086927330   -149.963301835626940
 0.054000000000000    -0.000000086929940   -149.475854642521800
 0.055000000000000    -0.000000086932597   -148.997338088902180
 0.056000000000000    -0.000000086935305   -148.527430070882220
 0.057000000000000    -0.000000086938060   -148.065825589244780
 0.058000000000000    -0.000000086940864   -147.612235559395430
 0.059000000000000    -0.000000086943719   -147.166385723045440
 0.060000000000000    -0.000000086946621   -146.728015651363340
 0.061000000000000    -0.000000086949574   -146.296877830522450
 0.062000000000000    -0.000000086952574   -145.872736821604410
 0.063000000000000    -0.000000086955622   -145.455368487719280
 0.064000000000000    -0.000000086958723   -145.044559281990560
 0.065000000000000    -0.000000086961870   -144.640105590741370
 0.066000000000000    -0.000000086965067   -144.241813126826000
 0.067000000000000    -0.000000086968315   -143.849496368580360
 0.068000000000000    -0.000000086971609   -143.462978040336710
 0.069000000000000    -0.000000086974953   -143.082088630861110
 0.070000000000000    -0.000000086978348   -142.706665946439440
 0.071000000000000    -0.000000086981790   -142.336554695662610
 0.072000000000000    -0.000000086985284   -141.971606103251020
 0.073000000000000    -0.000000086988825   -141.611677550514060
 0.074000000000000    -0.000000086992412   -141.256632240270730
 0.075000000000000    -0.000000086996055   -140.906338884260980
 0.076000000000000    -0.000000086999742   -140.560671411259790
 0.077000000000000    -0.000000087003479   -140.219508694270930
 0.078000000000000    -0.000000087007268   -139.882734295322310
 0.079000000000000    -0.000000087011105   -139.550236226517820
 0.080000000000000    -0.000000087014992   -139.221906726118650
 0.081000000000000    -0.000000087018925   -138.897642048533730
 0.082000000000000    -0.000000087022911   -138.577342267195120
 0.083000000000000    -0.000000087026946   -138.260911089381210
 0.084000000000000    -0.000000087031029   -137.948255682129310
 0.085000000000000    -0.000000087035164   -137.639286508450000
 0.086000000000000    -0.000000087039344   -137.333917173120060
 0.087000000000000    -0.000000087043578   -137.032064277389940
 0.088000000000000    -0.000000087047860   -136.733647281994140
 0.089000000000000    -0.000000087052190   -136.438588377901680
 0.090000000000000    -0.000000087056571   -136.146812364287480
 0.091000000000000    -0.000000087061004   -135.858246533246360
 0.092000000000000    -0.000000087065483   -135.572820560807000
 0.093000000000000    -0.000000087070014   -135.290466403837460
 0.094000000000000    -0.000000087074592   -135.011118202464160
 0.095000000000000    -0.000000087079222   -134.734712187654000
 0.096000000000000    -0.000000087083903   -134.461186593635550
 0.097000000000000    -0.000000087088632   -134.190481574858270
 0.098000000000000    -0.000000087093411   -133.922539127210260
 0.099000000000000    -0.000000087098240   -133.657303013235580
 0.100000000000000    -0.000000087103117   -133.394718691109400
 0.101000000000000    -0.000000087108047   -133.134733247147210
 0.102000000000000    -0.000000087113026   -132.877295331638660
 0.103000000000000    -0.000000087118054   -132.622355097811640
 0.104000000000000    -0.000000087123135   -132.369864143745100
 0.105000000000000    -0.000000087128263   -132.119775457061480
 0.106000000000000    -0.000000087133442   -131.872043362240080
 0.107000000000000    -0.000000087138672   -131.626623470404410
 0.108000000000000    -0.000000087143952   -131.383472631445100
 0.109000000000000    -0.000000087149283   -131.142548888349040
 0.110000000000000    -0.000000087154664   -130.903811433614150
 0.111000000000000    -0.000000087160094   -130.667220567636520
 0.112000000000000    -0.000000087165577   -130.432737658963360
 0.113000000000000    -0.000000087171105   -130.200325106312990
 0.114000000000000    -0.000000087176689   -129.969946302267600
 0.115000000000000    -0.000000087182322   -129.741565598551830
 0.116000000000000    -0.000000087188006   -129.515148272814400
 0.117000000000000    -0.000000087193740   -129.290660496835440
 0.118000000000000    -0.000000087199526   -129.068069306086810
 0.119000000000000    -0.000000087205362   -128.847342570576810
 0.120000000000000    -0.000000087211249   -128.628448966914850
 0.121000000000000    -0.000000087217185   -128.411357951535190
 0.122000000000000    -0.000000087223176   -128.196039735022940
 0.123000000000000    -0.000000087229216   -127.982465257487420
 0.124000000000000    -0.000000087235307   -127.770606164933340
 0.125000000000000    -0.000000087241450   -127.560434786580290
 0.126000000000000    -0.000000087247644   -127.351924113086270
 0.127000000000000    -0.000000087253888   -127.145047775631820
 0.128000000000000    -0.000000087260183   -126.939780025824450
 0.129000000000000    -0.000000087266532   -126.736095716384970
 0.130000000000000    -0.000000087272930   -126.533970282579650
 0.131000000000000    -0.000000087279382   -126.333379724363670
 0.132000000000000    -0.000000087285883   -126.134300589203720
 0.133000000000000    -0.000000087292440   -125.936709955548620
 0.134000000000000    -0.000000087299043   -125.740585416919200
 0.135000000000000    -0.000000087305700   -125.545905066589610
 0.136000000000000    -0.000000087312411   -125.352647482833820
 0.137000000000000    -0.000000087319173   -125.160791714712700
 0.138000000000000    -0.000000087325987   -124.970317268377800
 0.139000000000000    -0.000000087332855   -124.781204093869790
 0.140000000000000    -0.000000087339774   -124.593432572389820
 0.141000000000000    -0.000000087346743   -124.406983504024100
 0.142000000000000    -0.000000087353768   -124.221838095902140
 0.143000000000000    -0.000000087360843   -124.037977950770510
 0.144000000000000    -0.000000087367972   -123.855385055964790
 0.145000000000000    -0.000000087375153   -123.674041772762990
 0.146000000000000    -0.000000087382387   -123.493930826105100
 0.147000000000000    -0.000000087389675   -123.315035294663120
 0.148000000000000    -0.000000087397015   -123.137338601248150
 0.149000000000000    -0.000000087404409   -122.960824503540150
 0.150000000000000    -0.000000087411854   -122.785477085127890
 0.151000000000000    -0.000000087419355   -122.611280746846560
 0.152000000000000    -0.000000087426909   -122.438220198401270
 0.153000000000000    -0.000000087434516   -122.266280450265200
 0.154000000000000    -0.000000087442177   -122.095446805841660
 0.155000000000000    -0.000000087449889   -121.925704853879820
 0.156000000000000    -0.000000087457659   -121.757040461134240
 0.157000000000000    -0.000000087465481   -121.589439765259040
 0.158000000000000    -0.000000087473357   -121.422889167927590
 0.159000000000000    -0.000000087481288   -121.257375328169230
 0.160000000000000    -0.000000087489273   -121.092885155914970
 0.161000000000000    -0.000000087497315   -120.929405805744080
