============================================================================================
ANSOFT CORPORATION                                                                  10/18/18
Circuit5                                                                            17:33:31

--------------------------------------------------------------------------------------------
           F [GHz]               dB(S11)                dB(S21)
                                                               
 0.001000000000000    -0.000003713709105    -81.561836982171997
 0.002000000000000    -0.000003804635867    -75.541254373584096
 0.003000000000000    -0.000003956178345    -72.019457801309215
 0.004000000000000    -0.000004168334398    -69.520723090917258
 0.005000000000000    -0.000004441100720    -67.582574278762138
 0.006000000000000    -0.000004774473016    -65.999012235207900
 0.007000000000000    -0.000005168446045    -64.660150750337536
 0.008000000000000    -0.000005623013601    -63.500397549127186
 0.009000000000000    -0.000006138168517    -62.477444269101632
 0.010000000000000    -0.000006713902688    -61.562403057225865
 0.011000000000000    -0.000007350207042    -60.734669383566910
 0.012000000000000    -0.000008047071560    -59.979029625144335
 0.013000000000000    -0.000008804485268    -59.283930388829184
 0.014000000000000    -0.000009622436235    -58.640391039375750
 0.015000000000000    -0.000010500911583    -58.041292318470191
 0.016000000000000    -0.000011439897479    -57.480895021303930
 0.017000000000000    -0.000012439379139    -56.954504849382005
 0.018000000000000    -0.000013499340823    -56.458233204549323
 0.019000000000000    -0.000014619765847    -55.988822743791907
 0.020000000000000    -0.000015800636572    -55.543517731755337
 0.021000000000000    -0.000017041934408    -55.119966057851094
 0.022000000000000    -0.000018343639815    -54.716144068208962
 0.023000000000000    -0.000019705732314    -54.330298120341617
 0.024000000000000    -0.000021128190459    -53.960898585672766
 0.025000000000000    -0.000022610991871    -53.606603248067628
 0.026000000000000    -0.000024154113216    -53.266227885275342
 0.027000000000000    -0.000025757530217    -52.938722405429672
 0.028000000000000    -0.000027421217646    -52.623151325538529
 0.029000000000000    -0.000029145149333    -52.318677677121300
 0.030000000000000    -0.000030929298167    -52.024549641423803
 0.031000000000000    -0.000032773636083    -51.740089376869392
 0.032000000000000    -0.000034678134082    -51.464683620904559
 0.033000000000000    -0.000036642762216    -51.197775738458667
 0.034000000000000    -0.000038667489597    -50.938858957773753
 0.035000000000000    -0.000040752284400    -50.687470586994280
 0.036000000000000    -0.000042897113854    -50.443187045670179
 0.037000000000000    -0.000045101944253    -50.205619577151062
 0.038000000000000    -0.000047366740948    -49.974410532879446
 0.039000000000000    -0.000049691468358    -49.749230139417755
 0.040000000000000    -0.000052076089964    -49.529773674852784
 0.041000000000000    -0.000054520568310    -49.315758993905632
 0.042000000000000    -0.000057024865003    -49.106924351313594
 0.043000000000000    -0.000059588940724    -48.903026481360008
 0.044000000000000    -0.000062212755219    -48.703838898210094
 0.045000000000000    -0.000064896267296    -48.509150387271255
 0.046000000000000    -0.000067639434839    -48.318763662380363
 0.047000000000000    -0.000070442214800    -48.132494167415160
 0.048000000000000    -0.000073304563208    -47.950169004080912
 0.049000000000000    -0.000076226435163    -47.771625970259869
 0.050000000000000    -0.000079207784837    -47.596712695517532
 0.051000000000000    -0.000082248565474    -47.425285862220385
 0.052000000000000    -0.000085348729412    -47.257210502288231
 0.053000000000000    -0.000088508228041    -47.092359360935042
 0.054000000000000    -0.000091727011855    -46.930612319884510
 0.055000000000000    -0.000095005030413    -46.771855873510724
 0.056000000000000    -0.000098342232363    -46.615982652181422
 0.057000000000000    -0.000101738565441    -46.462890987790395
 0.058000000000000    -0.000105193976448    -46.312484517075355
 0.059000000000000    -0.000108708411299    -46.164671818845719
 0.060000000000000    -0.000112281814976    -46.019366081699737
 0.061000000000000    -0.000115914131560    -45.876484799207049
 0.062000000000000    -0.000119605304217    -45.735949489876575
 0.063000000000000    -0.000123355275209    -45.597685439529940
 0.064000000000000    -0.000127163985893    -45.461621463962985
 0.065000000000000    -0.000131031376721    -45.327689690008114
 0.066000000000000    -0.000134957387234    -45.195825353311250
 0.067000000000000    -0.000138941956082    -45.065966611315567
 0.068000000000000    -0.000142985021007    -44.938054370099557
 0.069000000000000    -0.000147086518863    -44.812032123856362
 0.070000000000000    -0.000151246385595    -44.687845805922272
 0.071000000000000    -0.000155464556261    -44.565443650372160
 0.072000000000000    -0.000159740965025    -44.444776063293936
 0.073000000000000    -0.000164075545158    -44.325795502941986
 0.074000000000000    -0.000168468229042    -44.208456368044018
 0.075000000000000    -0.000172918948171    -44.092714893604786
 0.076000000000000    -0.000177427633153    -43.978529053610977
 0.077000000000000    -0.000181994213717    -43.865858470095645
 0.078000000000000    -0.000186618618696    -43.754664328070092
 0.079000000000000    -0.000191300776057    -43.644909295874591
 0.080000000000000    -0.000196040612883    -43.536557450538730
 0.081000000000000    -0.000200838055381    -43.429574207778266
 0.082000000000000    -0.000205693028880    -43.323926256287038
 0.083000000000000    -0.000210605457839    -43.219581496011358
 0.084000000000000    -0.000215575265847    -43.116508980120805
 0.085000000000000    -0.000220602375623    -43.014678860413198
 0.086000000000000    -0.000225686709020    -42.914062335912163
 0.087000000000000    -0.000230828187033    -42.814631604436300
 0.088000000000000    -0.000236026729781    -42.716359816936141
 0.089000000000000    -0.000241282256526    -42.619221034410849
 0.090000000000000    -0.000246594685686    -42.523190187232160
 0.091000000000000    -0.000251963934804    -42.428243036715621
 0.092000000000000    -0.000257389920586    -42.334356138792081
 0.093000000000000    -0.000262872558868    -42.241506809642807
 0.094000000000000    -0.000268411764651    -42.149673093172566
 0.095000000000000    -0.000274007452080    -42.058833730203574
 0.096000000000000    -0.000279659534467    -41.968968129282814
 0.097000000000000    -0.000285367924265    -41.880056339001541
 0.098000000000000    -0.000291132533099    -41.792079021734857
 0.099000000000000    -0.000296953271749    -41.705017428713830
 0.100000000000000    -0.000302830050162    -41.618853376350970
 0.101000000000000    -0.000308762777453    -41.533569223743037
 0.102000000000000    -0.000314751361903    -41.449147851282476
 0.103000000000000    -0.000320795710964    -41.365572640312138
 0.104000000000000    -0.000326895731263    -41.282827453762920
 0.105000000000000    -0.000333051328606    -41.200896617717909
 0.106000000000000    -0.000339262407973    -41.119764903850253
 0.107000000000000    -0.000345528873529    -41.039417512685652
 0.108000000000000    -0.000351850628616    -40.959840057643291
 0.109000000000000    -0.000358227575770    -40.881018549812346
 0.110000000000000    -0.000364659616712    -40.802939383423556
 0.111000000000000    -0.000371146652356    -40.725589321978340
 0.112000000000000    -0.000377688582807    -40.648955484999789
 0.113000000000000    -0.000384285307366    -40.573025335372691
 0.114000000000000    -0.000390936724539    -40.497786667241215
 0.115000000000000    -0.000397642732024    -40.423227594435126
 0.116000000000000    -0.000404403226736    -40.349336539396937
 0.117000000000000    -0.000411218104784    -40.276102222584569
 0.118000000000000    -0.000418087261495    -40.203513652324624
