calc_fin
No.2
層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量
0,7,i-Si     ,10,3.1,11.8,0.26,-0,6,100,100,-0.56,0,0
1,24,3MLCaF2  ,3,0.93,6.76,1,1.5,1,30,130,0,0,0
2,7,i-Si     ,5,1.55,11.8,0.26,-0,6,50,180,-0.56,0,0
3,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,220,0,0,0
4,7,i-Si     ,10,3.1,11.8,0.26,-0,6,100,320,-0.56,0,0

 1ML[nm],分割数,積分範囲,ΔE,ピーク時ΔE,N,NRTD TEMP,II*temp,bar[4],bar[0]
0.31,10,0.6,1e-05,1e-09,320,190,300,4.2e+12 なし,なし
NQW[/cm2],Q[C/m2]
0.000000e+00,0.000000e+00

VRTD,V
0.000000e+00 0.000000e+00

第1準位,第2準位,第3準位,第4準位,第5準位,第6準位,
5.580000e+00,2.104544e-01,9.476436e-01,1.829701e+00,1.908155e+00,2.367776e+00,2.857343e+00,
6.200000e+00,2.104544e-01,9.476436e-01,1.829701e+00,1.908155e+00,2.367776e+00,2.857343e+00,
6.820000e+00,2.104544e-01,9.476436e-01,1.829701e+00,1.908155e+00,2.367776e+00,2.857343e+00,

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r


演算時間 4.531250 秒
