プログラムNo.2,,,,,,,,,,,,,,,
,層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量,
30,9.30E-01,0.00E+00,,,,,,,,,,,,,
31,9.61E-01,0.00E+00,,,,,,,,,,,,,
31,9.61E-01,0.00E+00,,,,,,,,,,,,,
32,9.92E-01,0.00E+00,,,,,,,,,,,,,
32,9.92E-01,0.00E+00,,,,,,,,,,,,,
33,1.02E+00,0.00E+00,,,,,,,,,,,,,
33,1.02E+00,0.00E+00,,,,,,,,,,,,,
34,1.05E+00,0.00E+00,,,,,,,,,,,,,
34,1.05E+00,0.00E+00,,,,,,,,,,,,,
35,1.09E+00,0.00E+00,,,,,,,,,,,,,
35,1.09E+00,0.00E+00,,,,,,,,,,,,,
36,1.12E+00,0.00E+00,,,,,,,,,,,,,
36,1.12E+00,0.00E+00,,,,,,,,,,,,,
37,1.15E+00,0.00E+00,,,,,,,,,,,,,
37,1.15E+00,0.00E+00,,,,,,,,,,,,,
38,1.18E+00,0.00E+00,,,,,,,,,,,,,
38,1.18E+00,0.00E+00,,,,,,,,,,,,,
39,1.21E+00,0.00E+00,,,,,,,,,,,,,
39,1.21E+00,0.00E+00,,,,,,,,,,,,,
40,1.24E+00,0.00E+00,,,,,,,,,,,,,
40,1.24E+00,0.00E+00,,,,,,,,,,,,,
41,1.27E+00,0.00E+00,,,,,,,,,,,,,
41,1.27E+00,0.00E+00,,,,,,,,,,,,,
42,1.30E+00,0.00E+00,,,,,,,,,,,,,
42,1.30E+00,0.00E+00,,,,,,,,,,,,,
43,1.33E+00,0.00E+00,,,,,,,,,,,,,
43,1.33E+00,0.00E+00,,,,,,,,,,,,,
44,1.36E+00,0.00E+00,,,,,,,,,,,,,
44,1.36E+00,0.00E+00,,,,,,,,,,,,,
45,1.40E+00,0.00E+00,,,,,,,,,,,,,
45,1.40E+00,0.00E+00,,,,,,,,,,,,,
46,1.43E+00,0.00E+00,,,,,,,,,,,,,
46,1.43E+00,0.00E+00,,,,,,,,,,,,,
47,1.46E+00,0.00E+00,,,,,,,,,,,,,
47,1.46E+00,0.00E+00,,,,,,,,,,,,,
48,1.49E+00,0.00E+00,,,,,,,,,,,,,
48,1.49E+00,0.00E+00,,,,,,,,,,,,,
49,1.52E+00,0.00E+00,,,,,,,,,,,,,
49,1.52E+00,0.00E+00,,,,,,,,,,,,,
50,1.55E+00,0.00E+00,,,,,,,,,,,,,
50,1.55E+00,1.50E+00,,,,,,,,,,,,,
51,1.58E+00,1.50E+00,,,,,,,,,,,,,
51,1.58E+00,1.50E+00,,,,,,,,,,,,,
52,1.61E+00,1.50E+00,,,,,,,,,,,,,
52,1.61E+00,1.50E+00,,,,,,,,,,,,,
53,1.64E+00,1.50E+00,,,,,,,,,,,,,
53,1.64E+00,1.50E+00,,,,,,,,,,,,,
54,1.67E+00,1.50E+00,,,,,,,,,,,,,
54,1.67E+00,1.50E+00,,,,,,,,,,,,,
55,1.71E+00,1.50E+00,,,,,,,,,,,,,
55,1.71E+00,1.50E+00,,,,,,,,,,,,,
56,1.74E+00,1.50E+00,,,,,,,,,,,,,
56,1.74E+00,1.50E+00,,,,,,,,,,,,,
57,1.77E+00,1.50E+00,,,,,,,,,,,,,
57,1.77E+00,1.50E+00,,,,,,,,,,,,,
58,1.80E+00,1.50E+00,,,,,,,,,,,,,
58,1.80E+00,1.50E+00,,,,,,,,,,,,,
59,1.83E+00,1.50E+00,,,,,,,,,,,,,
59,1.83E+00,1.50E+00,,,,,,,,,,,,,
60,1.86E+00,1.50E+00,,,,,,,,,,,,,
60,1.86E+00,1.50E+00,,,,,,,,,,,,,
61,1.89E+00,1.50E+00,,,,,,,,,,,,,
61,1.89E+00,1.50E+00,,,,,,,,,,,,,
62,1.92E+00,1.50E+00,,,,,,,,,,,,,
62,1.92E+00,1.50E+00,,,,,,,,,,,,,
63,1.95E+00,1.50E+00,,,,,,,,,,,,,
63,1.95E+00,1.50E+00,,,,,,,,,,,,,
64,1.98E+00,1.50E+00,,,,,,,,,,,,,
64,1.98E+00,1.50E+00,,,,,,,,,,,,,
65,2.02E+00,1.50E+00,,,,,,,,,,,,,
65,2.02E+00,1.50E+00,,,,,,,,,,,,,
66,2.05E+00,1.50E+00,,,,,,,,,,,,,
66,2.05E+00,1.50E+00,,,,,,,,,,,,,
67,2.08E+00,1.50E+00,,,,,,,,,,,,,
67,2.08E+00,1.50E+00,,,,,,,,,,,,,
68,2.11E+00,1.50E+00,,,,,,,,,,,,,
68,2.11E+00,1.50E+00,,,,,,,,,,,,,
69,2.14E+00,1.50E+00,,,,,,,,,,,,,
69,2.14E+00,1.50E+00,,,,,,,,,,,,,
70,2.17E+00,1.50E+00,,,,,,,,,,,,,
70,2.17E+00,1.50E+00,,,,,,,,,,,,,
71,2.20E+00,1.50E+00,,,,,,,,,,,,,
71,2.20E+00,1.50E+00,,,,,,,,,,,,,
72,2.23E+00,1.50E+00,,,,,,,,,,,,,
72,2.23E+00,1.50E+00,,,,,,,,,,,,,
73,2.26E+00,1.50E+00,,,,,,,,,,,,,
73,2.26E+00,1.50E+00,,,,,,,,,,,,,
74,2.29E+00,1.50E+00,,,,,,,,,,,,,
74,2.29E+00,1.50E+00,,,,,,,,,,,,,
75,2.33E+00,1.50E+00,,,,,,,,,,,,,
75,2.33E+00,1.50E+00,,,,,,,,,,,,,
76,2.36E+00,1.50E+00,,,,,,,,,,,,,
76,2.36E+00,1.50E+00,,,,,,,,,,,,,
77,2.39E+00,1.50E+00,,,,,,,,,,,,,
77,2.39E+00,1.50E+00,,,,,,,,,,,,,
78,2.42E+00,1.50E+00,,,,,,,,,,,,,
78,2.42E+00,1.50E+00,,,,,,,,,,,,,
