calc_fin
No.2
層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量
0,1,n-Si.Sub.,3,0.93,11.8,0.26,-0,6,30,30,-0.03406,4.084,1e+19
1,5,CaF2     ,2,0.62,6.76,1,1,1,20,50,0,0,0
2,7,i-Si     ,3,0.93,11.8,0.26,-0,6,30,80,-0.56,0,0
3,5,CaF2     ,2,0.62,6.76,1,1,1,20,100,0,0,0
4,7,i-Si     ,2,0.62,11.8,0.26,-0,6,20,120,-0.56,0,0
5,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,160,0,0,0
6,7,i-Si     ,5,1.55,11.8,0.26,-0,6,50,210,-0.56,0,0
7,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,250,0,0,0
8,7,i-Si     ,2,0.62,11.8,0.26,-0,6,20,270,-0.56,0,0
9,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,310,0,0,0
10,1,n-Si.Sub.,36,11.16,11.8,0.26,-0,6,360,670,-0.09356,4.144,1e+18

 1ML[nm],分割数,積分範囲,ΔE,ピーク時ΔE,N,NRTD TEMP,II*temp,bar[10],bar[0]
0.31,10,0.6,1e-05,1e-09,670,70,300,4.2e+12 なし,なし
NQW[/cm2],Q[C/m2]
0.000000e+00,0.000000e+00

VRTD,V
3.100000e-01 2.079662e+00

第1準位,第2準位,第3準位,第4準位,第5準位,第6準位,第7準位,
2.480000e+00,-1.361004e-01,-1.309393e-01,5.274809e-01,5.739904e-01,6.206510e-01,9.994246e-01,1.278809e+00,
2.790000e+00,-1.361004e-01,-1.309393e-01,5.274809e-01,5.739904e-01,6.206510e-01,9.994246e-01,1.278809e+00,
3.100000e+00,-1.361004e-01,-1.309393e-01,5.274809e-01,5.739904e-01,6.206510e-01,9.994246e-01,1.278809e+00,

A[0],0+0i,B[0],1+0i

A[0],0+0i,B[0],1+0i

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r

A[0],1+0i,B[0],1-r


演算時間 14.468750 秒
